Client_ID,Description,Fraud_Label,Branch,Language
C0011,"El 10 de agosto de 2023, mi madre, María López, falleció en el hospital San Carlos, donde había sido admitida por complicaciones relacionadas con su enfermedad cardíaca. Desde hacía varios años, tenía una póliza de seguro de vida a mi nombre, lo que me ha llevado a presentar esta reclamación. Para respaldar la solicitud, tengo el certificado de defunción emitido por el médico que atendió a mi madre, así como el informe hospitalario que detalla su estado de salud antes del fallecimiento. El informe describe su diagnóstico de insuficiencia cardíaca congestiva y menciona que había estado en tratamiento durante los últimos seis meses. Además, puedo proporcionar el recibo de la póliza de seguro, que se emitió en 2015 y ha estado vigente sin interrupciones. Adjunto también una carta de la clínica que muestra que mi madre fue tratada regularmente y que sus visitas eran frecuentes. Me gustaría asegurarme de que todos los documentos necesarios estén en orden para que el proceso de reclamación se lleve a cabo sin problemas. Espero recibir una confirmación de que han recibido toda la documentación requerida. La información sobre la póliza y los datos de contacto están claramente indicados en la carta que envíe. Aprecio su ayuda en este difícil momento y espero su pronta respuesta.",0,Life,es
C0012,"El 5 de agosto de 2023, mi hermano, quien era el beneficiario de mi póliza de vida, falleció trágicamente en un accidente de coche. Estaba muy conmocionado y, con todo lo que pasó, decidí revisar mis documentos de la póliza para asegurarme de que todo estuviera en orden. Noté que había cambiado el beneficiario a mi hermano solo unos meses antes, en mayo. Me sentí mal por el cambio, pero pensaba que era lo correcto en ese momento. Llamé a la aseguradora para informarles sobre el fallecimiento y presentar la reclamación. Me dijeron que necesitaría un informe del accidente, así que fui a la policía el 6 de agosto para obtener una copia. En el informe se decía que había un testigo, pero no pude localizarlo después de intentar varias veces. Además, el funeral fue organizado por una funeraria local que ha estado en la comunidad por años, pero parecía que no tenían registros claros de los gastos. Recibí facturas que estaban escritas a mano y algunas no tenían la fecha correcta. A menudo acudía a la misma clínica para chequeos anuales, pero este último tratamiento fue en una clínica diferente que tenía mala reputación. Hice todo lo posible por ser transparente, aunque ahora me siento algo inseguro sobre la forma en que se ha manejado la reclamación. Espero que todo se resuelva pronto, aunque tengo la impresión de que la aseguradora podría tener dudas.",1,Life,es
C0013,"I am writing to file a claim for my late husband’s life insurance policy. His name was Thomas Davidson, and the policy number is 789456123. Unfortunately, Thomas passed away unexpectedly on September 14, 2023, due to a heart attack. The paramedics arrived shortly after I called 911, but despite their best efforts, he could not be revived. I have included a copy of the death certificate, which confirms the cause of death. We had been married for over fifteen years, and this policy was taken out in 2015 to ensure my financial security in case anything happened to him. I had been the beneficiary on the policy since its inception, and everything was in good standing at the time of his passing. I am including a copy of our marriage certificate and the last premium payment receipt dated August 1, 2023, to show that the policy was active. I hope you find all the documents in order, but if you need anything else, please let me know. I want to make this process as smooth as possible during this difficult time. Thank you for your attention to this matter, and I look forward to your prompt response.",0,Life,en
C0014,"El pasado 15 de septiembre, noté que había una mancha de humedad en el techo de mi sala. Me preocupé mucho porque recientemente hice una mejora en la cobertura de mi póliza para incluir daños por agua, y esto ocurrió solo dos semanas después de esa modificación. Decidí llamar a un contratista que había trabajado conmigo anteriormente; él llegó al día siguiente y me mostró una serie de recibos que eran bastante confusos, todos escritos a mano. Me dijo que las reparaciones costarían alrededor de 3,000 euros, pero no tenía ninguna foto del trabajo previo realizado. Para ayudar con el reclamo, decidí tomar algunas fotos de la humedad y los daños visibles en mi casa. Sin embargo, al revisar las imágenes en mi teléfono, noté que no tenían las marcas de tiempo que normalmente se incluirían. También traté de contactar a un testigo, mi vecino, pero no pude comunicarme con él. Lo curioso es que hace un año ya había tenido problemas similares en la misma zona de la casa. La semana siguiente, decidí visitar un taller de construcción que había visto en línea, que aparentemente tiene buenas calificaciones. Me aseguré de pagar en efectivo, porque el contratista me dijo que eso es más rápido. A pesar de estos detalles, estoy dispuesto a colaborar completamente con el proceso de reclamación. Espero que todo se resuelva pronto y que pueda recuperar los costos de esta situación incómoda. Gracias por su ayuda en este asunto.",1,Home,es
C0015,"El 15 de octubre de 2023, alrededor de las 3:30 PM, mientras conducía por la Avenida Principal en dirección al centro comercial, sufrí un accidente automovilístico. Mi vehículo, un Honda Civic 2020, fue impactado por otro coche que no se detuvo en un semáforo en rojo. Luego del choque, ambos conductores intercambiamos información y llamé a la policía para que elaboraran un informe del incidente. El oficial de policía llegó unos 15 minutos después y tomó los datos necesarios de ambos involucrados. La policía me proporcionó una copia del informe, la cual tengo guardada. Tras el accidente, fui a un taller de reparación local recomendado por un amigo, donde me dieron un presupuesto para arreglar los daños. El taller me aseguró que las reparaciones llevarían aproximadamente dos semanas y me dieron un recibo por el importe de los gastos estimados. Además, hice la reclamación a mi compañía de seguros el mismo día del accidente. Me pidieron que enviara copias del informe policial y del presupuesto del taller, lo cual hice el 17 de octubre. Hasta la fecha, he mantenido contacto con el ajustador que está manejando mi caso, quien me ha explicado que el proceso de evaluación de daños puede demorar un poco más. Estoy cooperando con ellos y proporcionándoles cualquier información adicional que requieran. Espero que la compañía de seguros pueda procesar mi reclamo de manera eficiente y así poder reparar mi vehículo lo antes posible.",0,Auto,es
C0016,"El 15 de octubre de 2023, estaba manejando por la calle principal en mi vecindario, cuando otro coche se detuvo repentinamente delante de mí sin previo aviso. Intenté frenar, pero no pude evitar la colisión. La policía llegó al lugar y redactó un informe que tengo guardado. Mi vehículo sufrió daños considerables en el parachoques y el capó, y he incluido fotos del daño en mi reclamación. Además, tengo los recibos de la grúa que me llevó al taller, así como la factura del taller de reparación. El taller se encuentra a solo cinco minutos de mi casa y estoy seguro de que han hecho un buen trabajo, ya que los he usado anteriormente. La fecha de finalización de las reparaciones fue el 30 de octubre de 2023. También adjunté el informe policial que confirma mi versión de los hechos. Espero que toda esta documentación sea suficiente para procesar mi reclamación.",0,Auto,es
C0017,"Je voudrais déclarer un sinistre concernant des dégâts d'eau survenus dans ma maison le 12 septembre 2023. J'ai remarqué une fuite au plafond de la salle de bain, qui a causé des dommages importants aux murs et au sol. Dès que j'ai constaté le problème, j'ai immédiatement contacté un plombier pour une évaluation, et j'ai reçu un devis de réparation le 15 septembre, que je peux fournir. Le plombier m'a conseillé de faire appel à un service de restauration pour éviter la propagation de moisissures, donc j'ai engagé une entreprise spécialisée le 18 septembre. Ils ont commencé les travaux le 20 septembre et m'ont donné des rapports sur l'état des dommages, que je peux également soumettre. J'ai également pris des photos des dégâts au moment de la découverte, avec des horodatages, pour prouver la chronologie des événements. Par ailleurs, j'ai déposé un rapport de police en cas de besoin, bien qu'il n'y ait eu aucun acte criminel associé à l'incident. Toutes les factures et les documents nécessaires sont soigneusement conservés pour faciliter le traitement de ma demande. Merci de votre attention à cette situation.",0,Home,fr
C0018,"I was involved in a car accident on September 15, 2023, while driving home from work. It was around 5:30 PM and the sun was starting to set, which made visibility a bit tricky. I was traveling on Elm Street when a vehicle unexpectedly ran a stop sign and collided with my car. Thankfully, I wasn’t speeding, and the impact wasn’t too severe, but my vehicle did sustain damage to the front bumper and fender. After the accident, I immediately called the police, and they arrived on the scene within 15 minutes to file a report. I also took several photographs of the scene, capturing the positions of both vehicles and any visible damage. The police report number is 789456. I exchanged insurance information with the other driver, and they confirmed their coverage through XYZ Insurance. I then arranged for my car to be towed to my preferred body shop, ABC Auto Repair, which I’ve used before and trust. They provided me with an estimate of $2,500 for the repairs, and I have attached that invoice with this claim. The repair shop has stated that the work should take about a week, and I hope to have my car back by September 22. I’ve included all documentation, including the police report, photos, and the repair estimate, to help expedite the claims process. Please let me know if you need any more information!",0,Auto,en
C0019,"El 15 de agosto de 2023, me desperté y noté que había una fuga significativa en el techo de mi casa. Me di cuenta de que el agua estaba goteando en el salón, lo que me llevó a llamar a un fontanero de inmediato. El profesional llegó esa misma tarde y confirmo que la filtración había sido causada por la acumulación de agua debido a la falta de mantenimiento del canalón. Inmediatamente, tomé fotos del daño en el techo y el agua que caía en el salón, las cuales tienen fecha y hora en mi teléfono. El 18 de agosto, presenté un informe a la policía para documentar el problema, aunque no se trató de un incidente criminal. También tengo copias de las facturas del fontanero y de un contratista que vino a reparar el daño, con sus datos de contacto. Las reparaciones se completaron el 25 de agosto y mantuve todos los documentos en mi archivo. Además, he solicitado a mi compañía de seguros la cobertura necesaria para estos arreglos, según mi póliza actual. Estoy esperando su respuesta para proceder con la reclamación.",0,Home,es
C0020,"El 12 de octubre de 2023, noté que había una fuga de agua en el sótano de mi casa. Me di cuenta cuando subí a buscar algo y el suelo estaba empapado. Inmediatamente llamé a un fontanero que ha trabajado conmigo en el pasado y llegó al día siguiente para evaluar el daño. Me proporcionó una factura a mano, ya que él prefiere no usar sistemas electrónicos. Inspeccionó el área y mencionó que había signos de humedad que se veían un poco antiguos, pero no le di mucha importancia en ese momento. Decidí que debía contactar a mi aseguradora para presentar un reclamo, así que les envié la factura y algunas fotos que tomé con mi teléfono. Sin embargo, las fotos no tienen ninguna marca de tiempo, ya que no pensé en eso mientras las tomaba. También mencioné que había cambiado mi póliza un mes antes, aumentando la cobertura para daños por agua. Espero que todo esté en orden, ya que realmente necesito que me ayuden a cubrir los costos de la reparación.",1,Home,es
C0021,"I would like to file a claim for water damage that occurred in my home on February 15, 2023. The issue started when I noticed a damp spot on the ceiling in my living room, which I thought was just a small leak. I decided to investigate further and discovered that the water was coming from a burst pipe in the attic. Immediately, I shut off the water supply and contacted a plumber, who arrived the same day and provided me with a detailed report of the damage. They estimated that repairs would cost approximately $3,500 and provided an invoice outlining all the necessary work and materials needed. I took photos of the damage, including the burst pipe and the affected ceiling, and these images are dated and included in my submission. I also have a police report documenting the incident as the plumber found evidence of mold growth, which could be a hazard. I have since made arrangements for the repairs to begin next week, as I understand the urgency of the situation. I am including copies of all relevant documents and bills with my claim. Thank you for your assistance with this matter.",0,Home,en
C0022,"On October 15, 2023, I was driving my 2018 Honda Accord eastbound on Maple Street near the intersection with Pine Avenue when I was involved in a collision. The accident occurred around 3:30 PM, and the weather conditions were clear and sunny. I stopped at a red light, and as the light turned green, I proceeded through the intersection when a blue pickup truck suddenly ran the red light and struck my car on the passenger side. I immediately pulled over to the side of the road and called 911 to report the accident. The police arrived shortly after, and I provided them with my driver's license, vehicle registration, and insurance information. The officer took my statement and documented the scene, mentioning the other driver was cited for running the red light in the police report I received later. I contacted my insurance company that same day to initiate the claims process and was assigned a claims adjuster. Following their advice, I took my car to a repair shop that I had used in the past for another minor incident, and I retained the invoice for the repairs. The estimate for the damages totaled $2,500, which included parts and labor. I also included photos of the damage taken at the scene and the repair shop. I made sure to keep all documentation organized, including the police report and the photographs with date stamps. I am hopeful that my claim will be processed smoothly so I can get back on the road as soon as possible.",0,Auto,en
C0023,"On the evening of October 10th, 2023, I returned home from work around 6 PM and noticed that my living room was unusually damp. Initially, I thought it was just a minor issue, but upon closer inspection, I found that the ceiling had some water stains and there was a small leak coming from the second-floor bathroom. I immediately took some photos to document the damage and contacted a plumber to assess the situation. The plumber arrived the next morning and determined that a pipe had burst due to old fittings, and he suggested replacing a section of the plumbing to prevent further issues. I also noticed some mold beginning to form on the walls, so I took further pictures for my records. After getting an invoice for $400 from the plumber, I made sure to keep all receipts and photos organized. I filed a claim with my insurance company that same week, providing all necessary documentation, including the plumber’s report and my photos. The representative assured me that my coverage would apply since the damage wasn’t due to negligence. I also submitted a copy of the home inspection report I had from last year to show the plumbing was in good condition at that time. It felt good to be proactive, especially since I had recently increased my coverage limit after hearing about others who faced similar issues. I did everything I could to make sure my claim was straightforward. Overall, the process has been smooth so far, and I’m hopeful the repairs will be covered promptly.",0,Home,en
C0024,"I discovered water damage in my home on March 5th, 2023, when I returned from a week-long trip. I noticed a peculiar smell as soon as I walked in, and my hardwood floors were buckling in the living room. I called a contractor I've worked with before, Joe's Home Repair, who quickly came over to assess the damage. He told me it was likely from a plumbing issue and suggested I file an insurance claim. I submitted the claim that same week along with photos taken on my phone, though I realize now the metadata was somehow missing. I also provided invoices from Joe's prior visits, which were handwritten rather than printed. Interestingly, I had just increased my home insurance coverage two months before the incident, just to be safe, and my previous claims history has always been minimal. I am hoping this doesn't cause any issues during the claims process, but I want to ensure that everything is above board and fair.",1,Home,en
C0025,"El 5 de octubre de 2023, mi esposa, Ana, falleció repentinamente debido a un ataque al corazón. La situación fue devastadora para mí y nuestra familia. Aunque era una mujer sana, había antecedentes familiares que siempre nos preocupaban. Desde hacía unos meses, había actualizado mi póliza de seguro de vida para incluir un monto mayor, pensando en asegurarnos de que nuestra familia estuviera protegida en caso de cualquier eventualidad. En ese sentido, tengo todos los documentos necesarios, incluyendo la póliza actualizada y los recibos de pago, que muestran que todo estaba al día. Después de su muerte, contacté a la compañía de seguros el 7 de octubre para informarles de la situación y solicitar el beneficio correspondiente. Me pidieron varios documentos, incluyendo el certificado de defunción y una copia de la póliza. El certificado ya fue emitido por el hospital, y tengo la documentación lista para enviar. He mantenido una comunicación constante con el agente de seguros, quien ha sido muy comprensivo. Hasta ahora, todo el proceso ha sido bastante claro. Estoy tratando de ser lo más transparente posible para facilitar el manejo de este reclamo. Espero que el pago se realice pronto para poder cubrir algunos gastos médicos y darle un buen adiós a Ana.",0,Life,es
C0026,"El 10 de septiembre de 2023, mi madre, que era la beneficiaria de mi póliza de seguro de vida, falleció debido a complicaciones de salud. Desde el momento en que recibí la noticia, supe que debía presentar un reclamo. Me dirigí al hospital donde fue atendida y solicité el informe médico junto con la copia del certificado de defunción. Afortunadamente, recibí todos los documentos necesarios en cuestión de días. Luego, el 15 de septiembre, contacté a su agente de seguros para informarle sobre la situación y comenzar el proceso. El agente me guió a través de los pasos a seguir, incluyendo la recopilación de facturas médicas y otros documentos relevantes. En total, envié el reclamo el 20 de septiembre, incluyendo toda la documentación pertinente como el informe médico, el certificado de defunción y las facturas de atención médica. Espero que el proceso se desarrolle sin inconvenientes, ya que fue un tiempo difícil para nuestra familia. Estoy tratando de mantenerme organizado y de seguir todas las instrucciones para asegurar que no haya retrasos en el reclamo.",0,Life,es
C0027,"Le 15 septembre 2023, j'ai eu un accident de voiture sur la route principale près de ma maison à Lyon. C'était une belle journée sans nuages, donc je ne m'attendais pas à un incident. J'ai reçu un appel d'un ami qui m'a dit avoir entendu l'accident, mais il n'a pas pu se rendre sur les lieux. En attendant, j'ai contacté la police pour signaler l'accident, mais ils sont arrivés avec un certain retard, et je n'ai pas pu fournir un rapport officiel tout de suite. Ma voiture était garée dans un garage dont les travaux avaient été effectués par le même entrepreneur que les fois précédentes, et j'ai pris soin d'envoyer les factures à l'assurance. Il se peut que j'aie un peu exagéré les dommages causés au véhicule dans mes photos, qui ne portent d'ailleurs pas de date. J'ai récemment changé ma couverture d'assurance, passant à une option plus élevée, juste avant l'accident. J'ai bien pris le temps de prendre quelques photos des dégâts, mais je n'ai pas pensé à prendre des photos de l'autre véhicule. La facture de réparation a été payée en espèces, car je n'ai pas utilisé ma carte. Parfois, il est difficile de trouver des ateliers fiables dans ma région, donc j'ai pensé à retourner au même endroit. Je m'assure de garder tous mes documents en ordre, même si je trouve cela un peu stressant d'interagir avec l'assurance.",1,Auto,fr
C0028,"Bonjour, je suis ici pour signaler un accident qui a eu lieu le 15 septembre 2023, vers 14h30, sur la route de la République. Je conduisais ma voiture, une berline rouge, quand j'ai perdu le contrôle et j'ai heurté un arbre. C'était une journée claire, sans conditions météorologiques défavorables, et la route était dégagée. J'ai fait une déclaration à la police sur place, mais je n'ai pas encore reçu le rapport. L'agent m'a dit que je devrais attendre un peu. Mon véhicule a été réparé dans un garage que je connais bien, mais c'est la troisième fois que je fais appel à eux récemment. J'ai également augmenté ma couverture d'assurance juste avant l'accident, au cas où quelque chose surviendrait. Les factures que j'ai reçues pour les réparations semblent un peu élevées, mais je n'y ai pas trop prêté attention. Je vais devoir trouver le temps de vérifier les détails plus tard, car je suis préoccupé par la rapidité de ce processus.",1,Auto,fr
C0029,"Le 15 septembre 2023, j'ai eu un accident de voiture sur l'avenue de la République, près du parc. À ce moment-là, il pleuvait légèrement, et la route était glissante. J'ai fait une virage à gauche lorsque j'ai perdu le contrôle de ma voiture et percuté un lampadaire. Après l'accident, j'ai immédiatement appelé le service de police qui est arrivé environ 20 minutes plus tard pour dresser un rapport. J'ai également pris des photos de la scène avec mon téléphone, montrant les dégâts sur ma voiture et sur le lampadaire. Le rapport de police indique clairement les circonstances de l'accident. Le 17 septembre, j'ai contacté mon assureur pour déclarer l'accident et j'ai fourni une copie du rapport de police ainsi que les photos. Le garage de réparation, recommandé par mon assureur, a estimé les coûts des réparations à environ 2 500 euros. J'ai conservé tous les reçus pour les réparations et les factures. De plus, mon assurance a été mise à jour récemment pour couvrir les dommages causés aux biens d'autrui, ce qui est pertinent ici. Je suis soulagé que je n'ai pas été blessé, et j'espère que ma demande de remboursement sera traitée rapidement. J'ai veillé à remplir tous les formulaires nécessaires et à soumettre tous les documents requis dans les délais impartis. Je reste à votre disposition pour toute question ou information supplémentaire que vous pourriez avoir.",0,Auto,fr
C0030,"I was returning home from work on March 15th, 2023, when I noticed some damage to my living room ceiling. At first, I thought maybe a leak had sprung from the bathroom above, but it was odd because I had just had the roof inspected last month, and the contractor assured me everything was fine. After doing some digging around, I came across some water stains that seemed to appear out of nowhere, almost like they had been there for a while but never noticed. I took photos to document everything on my phone, but when I tried to check the timestamps, it seemed like some had been altered. I decided to reach out to a friend who is a handyman to help assess the situation, but he wasn’t available right away. In the meantime, I went to a local hardware store and grabbed some supplies to cover the damages temporarily. I ended up finding a receipt from the shop that looked a bit old; I think I may have reused it from a previous project. I did file a claim on March 18th, just a few days after finding the issue, because I wanted to get it resolved quickly. I hope this information helps speed up the claims process, as I genuinely just want to fix my home and get things back to normal.",1,Home,en
C0031,"El 15 de septiembre de 2023, noté que había un daño considerable en el techo de mi casa, específicamente una filtración que parecía provenir de una gotera. Inmediatamente, contacté a un contratista local, Juan Pérez, quien llegó al día siguiente para evaluar el problema. Tras la inspección, me proporcionó un presupuesto por escrito que detallaba los materiales y el costo del trabajo, incluyendo una garantía por dos años. Debido a la urgencia, le pedí que comenzara las reparaciones ese mismo día. El 17 de septiembre, terminé de subir todas las fotos del daño a la aplicación de mi aseguradora y presenté la reclamación formal junto con el presupuesto del contratista. Además, envié una copia del informe de la inspección realizada por el contratista. Durante todo el proceso, he mantenido una comunicación fluida con el representante de la aseguradora para asegurarme de que todo estuviera en orden. También tengo el informe policial que documenta que no hubo incidentes recientes en mi área que pudieran haber causado el daño. Espero que mi reclamación sea aprobada pronto, ya que los trabajos de reparación son necesarios para evitar problemas mayores en el futuro.",0,Home,es
