Client_ID,Description,Fraud_Label,Branch
C0011,"This claim is about water damage we discovered on Thursday morning in our home in Malaga. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. Atlantic CleanUp provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful.",0,Home
C0012,"This claim is about water damage we discovered on Tuesday morning in our home in Seville. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. GreenOak Remodeling provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. I understand an inspection or call might be required; Marta from our side can also speak to what happened. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful.",0,Home
C0013,"This claim is about water damage we discovered on Saturday morning in our home in Malaga. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. Fenix Restorations provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF. I understand an inspection or call might be required; Sam from our side can also speak to what happened. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful.",0,Home
C0014,"I'm reporting a traffic incident that happened on Monday evening near Malaga on the A-1. My car drifted slightly when a dense fog came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 696 175 659 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to City Dent Pro and I received an initial estimate of EUR 6922 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. I understand an inspection or call might be required; Alex from our side can also speak to what happened. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed.",0,Auto
C0015,"I'm reporting a traffic incident that happened on Friday evening near Zaragoza on the AP-7. My car drifted slightly when a strong wind came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 606 754 751 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Metro Bodyworks and I received an initial estimate of EUR 7165 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. I understand an inspection or call might be required; Sam from our side can also speak to what happened. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful.",0,Auto
C0016,"I'm reporting a traffic incident that happened on Saturday evening near Bilbao on the M-40. My car drifted slightly when a heavy rain came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 794 631 496 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Coastal Glass and I received an initial estimate of EUR 5316 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. I understand an inspection or call might be required; Jordan from our side can also speak to what happened. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed.",0,Auto
C0017,"I'm reporting a traffic incident that happened on Wednesday evening near Alicante on the A-1. My car drifted slightly when a hail came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 642 921 703 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Northside Collision and I received an initial estimate of EUR 7380 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer.",0,Auto
C0018,"I'm reporting a traffic incident that happened on Sunday evening near Valladolid on the A-3. My car drifted slightly when a clear skies came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 798 128 262 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Coastal Glass and I received an initial estimate of EUR 5622 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful.",0,Auto
C0019,"I'm reporting a traffic incident that happened on Monday evening near Alicante on the M-40. My car drifted slightly when a strong wind came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 657 683 448 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to QuickFix Auto and I received an initial estimate of EUR 4752 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. I understand an inspection or call might be required; Elena from our side can also speak to what happened. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF.",0,Auto
C0020,"I'm filing a claim related to my spouse’s hospitalization and subsequent passing; this has been difficult to write. The diagnosis was confirmed at Medicus24 and we have the discharge summary, treatment notes, and the attending physician’s report attached. The timeline is straightforward: initial symptoms in Monday of last month, admission two days later, and the outcome the following week. Our family coordinated with the funeral home and all invoices are included; amounts remain within the policy limits. I’ve verified that the beneficiary information on file matches our notarized documents from earlier this year. We are ready to provide any additional medical authorizations you need and can be available for a call at your convenience. Please let me know if there is a preferred format for the hospital’s itemized bill so we can resend it cleanly. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF.",0,Life
C0021,"I'm submitting a claim for smoke and fire staining we noticed last week in the living room of our house in Madrid. We had adjusted our contents coverage a few weeks prior after redecorating, and luckily the new limits should cover the furniture we listed. I didn’t call the fire brigade because the situation calmed quickly; we aired out the space and cleaned up before realizing stains remained. The photos I attached were taken on a replacement phone after my old one failed, so the pictures might not have the original dates. Fenix Restorations—who helped us with a similar issue last season—looked at it again and provided a quick handwritten quote while on another job. Our landlord mentioned smelling something on Wednesday, though they weren’t actually inside at the time. We don’t have purchase receipts for the vintage items since many were gifts, but the values should be close based on online listings. I also noticed some discolored spots that were there before, but I don’t think they’re related to previous humidity problems. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF.",1,Home
C0022,"I'm reporting a traffic incident that happened on Monday evening near Zaragoza on the M-30. My car drifted slightly when a dense fog came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 634 928 647 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Metro Bodyworks and I received an initial estimate of EUR 8229 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. I understand an inspection or call might be required; Marcos from our side can also speak to what happened. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer.",0,Auto
C0023,"I'm filing a claim related to my spouse’s hospitalization and subsequent passing; this has been difficult to write. The diagnosis was confirmed at WellSpring Center and we have the discharge summary, treatment notes, and the attending physician’s report attached. The timeline is straightforward: initial symptoms in Sunday of last month, admission two days later, and the outcome the following week. Our family coordinated with the funeral home and all invoices are included; amounts remain within the policy limits. I’ve verified that the beneficiary information on file matches our notarized documents from earlier this year. We are ready to provide any additional medical authorizations you need and can be available for a call at your convenience. Please let me know if there is a preferred format for the hospital’s itemized bill so we can resend it cleanly. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF.",0,Life
C0024,"This claim is about water damage we discovered on Friday morning in our home in Seville. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. SeguroDry provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. I understand an inspection or call might be required; Pablo from our side can also speak to what happened. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed.",0,Home
C0025,"This claim is about water damage we discovered on Saturday morning in our home in Seville. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. GreenOak Remodeling provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. I understand an inspection or call might be required; Sergio from our side can also speak to what happened. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer.",0,Home
C0026,"I'm reporting a traffic incident that happened on Tuesday evening near Valladolid on the A-3. My car drifted slightly when a light drizzle came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 646 491 925 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to QuickFix Auto and I received an initial estimate of EUR 7094 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. I understand an inspection or call might be required; Lucia from our side can also speak to what happened. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF.",0,Auto
C0027,"This claim is about water damage we discovered on Monday morning in our home in Barcelona. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. Fenix Restorations provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. I understand an inspection or call might be required; Elena from our side can also speak to what happened.",0,Home
C0028,"I'm reporting a traffic incident that happened on Thursday evening near Seville on the M-30. My car drifted slightly when a clear skies came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 676 210 576 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Coastal Glass and I received an initial estimate of EUR 5619 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. I understand an inspection or call might be required; Taylor from our side can also speak to what happened. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF.",0,Auto
C0029,"I'm reporting a traffic incident that happened on Wednesday evening near Madrid on the M-40. My car drifted slightly when a clear skies came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 728 688 381 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Rápido Taller and I received an initial estimate of EUR 1099 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful.",0,Auto
C0030,"I'm filing a claim related to my spouse’s hospitalization and subsequent passing; this has been difficult to write. The diagnosis was confirmed at Clinica Horizonte and we have the discharge summary, treatment notes, and the attending physician’s report attached. The timeline is straightforward: initial symptoms in Thursday of last month, admission two days later, and the outcome the following week. Our family coordinated with the funeral home and all invoices are included; amounts remain within the policy limits. I’ve verified that the beneficiary information on file matches our notarized documents from earlier this year. We are ready to provide any additional medical authorizations you need and can be available for a call at your convenience. Please let me know if there is a preferred format for the hospital’s itemized bill so we can resend it cleanly. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF.",0,Life
C0031,"This claim is about water damage we discovered on Monday morning in our home in Valladolid. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. SeguroDry provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. I understand an inspection or call might be required; Jordan from our side can also speak to what happened. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed.",0,Home
C0032,"This claim is about water damage we discovered on Thursday morning in our home in Alicante. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. SeguroDry provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed.",0,Home
C0033,"I'm submitting a claim for a serious condition that was identified recently; sorry for the delay, I had trouble collecting some papers. We changed the beneficiary details a few weeks before the diagnosis because we moved and my signature looks different after a minor wrist injury. The initial certificate came from Amber Medical, which I heard had an accreditation issue last year but they told me it's been sorted out. The policy was reinstated after a brief lapse due to a bank switch; we paid the missed premium and everything should be active now. Two clinics provided letters with overlapping dates because appointments were rescheduled multiple times; I hope that doesn’t cause confusion. I prefer not to release full medical records for privacy reasons at this stage, but summaries should be sufficient to verify the claim. I can provide additional statements later—my aunt witnessed some of the symptoms although they weren’t present at the appointment. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. I understand an inspection or call might be required; Taylor from our side can also speak to what happened. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer.",1,Life
C0034,"I'm filing a claim related to my spouse’s hospitalization and subsequent passing; this has been difficult to write. The diagnosis was confirmed at Medicus24 and we have the discharge summary, treatment notes, and the attending physician’s report attached. The timeline is straightforward: initial symptoms in Wednesday of last month, admission two days later, and the outcome the following week. Our family coordinated with the funeral home and all invoices are included; amounts remain within the policy limits. I’ve verified that the beneficiary information on file matches our notarized documents from earlier this year. We are ready to provide any additional medical authorizations you need and can be available for a call at your convenience. Please let me know if there is a preferred format for the hospital’s itemized bill so we can resend it cleanly. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed.",0,Life
C0035,"I'm reporting a traffic incident that happened on Saturday evening near Valencia on the A-2. My car drifted slightly when a heavy rain came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 668 637 269 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to City Dent Pro and I received an initial estimate of EUR 3479 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. I understand an inspection or call might be required; Carmen from our side can also speak to what happened.",0,Auto
